Geneid	C45_22_2L_1Aligned.out.bam	C45_22_2L_2Aligned.out.bam	C45_22_2L_3Aligned.out.bam	WT_2g_5Aligned.out.bam	WT_2g_6Aligned.out.bam	WT_2g_7Aligned.out.bam
CopciAB_1002050.T0	0	1	0	0	0	0
CopciAB_1000317.T0	0	0	0	0	0	0
CopciAB_1001056.T0	0	0	0	0	0	0
CopciAB_1002052.T0	0	0	0	0	0	0
CopciAB_1002583.T0	0	0	0	0	0	0
CopciAB_410075.T0	3	6	11	4	2	3
CopciAB_1002057.T0	332	354	344	236	109	176
CopciAB_1002060.T0	2	0	4	0	0	0
CopciAB_480164.T0	0	0	4	0	0	2
CopciAB_1002061.T0	20	35	39	19	14	11
CopciAB_371990.T0	0	2	0	3	3	2
CopciAB_1002062.T0	25	23	20	39	9	23
CopciAB_401461.T0	3	7	11	4	8	3
CopciAB_489193.T0	12	26	44	14	13	7
CopciAB_534846.T0	1229	973	1113	2301	3110	1526
CopciAB_1002070.T0	5	5	3	4	11	7
CopciAB_379633.T0	0	0	0	0	0	0
CopciAB_408203.T0	74	92	133	149	190	90
CopciAB_1002075.T0	14	26	24	21	7	20
CopciAB_1002077.T0	0	0	0	1	0	6
CopciAB_498993.T0	0	0	0	0	1	0
CopciAB_1002083.T0	262	266	271	303	333	167
CopciAB_1002088.T0	30	45	21	46	27	31
CopciAB_1002091.T0	20	31	30	57	2	49
CopciAB_1002094.T0	0	0	0	0	0	0
CopciAB_1002096.T0	749	1105	652	843	1213	987
CopciAB_547036.T0	0	1	2	0	0	2
CopciAB_467988.T0	12	6	14	13	1	2
CopciAB_1002100.T0	133	114	111	78	74	82
CopciAB_1002102.T0	45	52	68	39	44	24
CopciAB_1002110.T0	57	44	86	94	43	80
CopciAB_1002120.T0	22	16	19	29	13	12
CopciAB_473201.T0	257	292	399	356	230	185
CopciAB_1002124.T0	7	7	24	9	15	18
CopciAB_1002127.T0	0	0	0	0	0	0
CopciAB_1002128.T0	0	0	0	0	1	0
CopciAB_470455.T0	0	0	0	0	0	0
CopciAB_1002129.T0	0	0	0	0	0	0
CopciAB_469959.T0	0	0	0	0	0	0
CopciAB_382422.T0	0	0	0	0	0	0
CopciAB_381496.T0	0	0	0	0	0	0
CopciAB_381485.T0	0	0	0	0	0	0
CopciAB_381488.T0	0	0	0	0	0	0
CopciAB_1002133.T0	0	0	0	0	0	0
CopciAB_1002135.T0	68	68	55	65	87	33
CopciAB_504054.T0	70	64	53	65	40	11
CopciAB_1002144.T0	0	0	0	0	0	0
CopciAB_1000322.T0	0	0	0	0	0	0
CopciAB_1001428.T0	0	0	0	0	0	0
CopciAB_1002017.T0	0	0	0	0	0	0
CopciAB_1002147.T0	0	0	0	0	0	0
CopciAB_1002167.T0	0	0	0	0	0	0
CopciAB_498143.T0	0	0	0	0	0	0
CopciAB_472459.T0	2	0	3	2	7	2
CopciAB_1002153.T0	194	268	289	260	178	201
CopciAB_1002154.T0	42	53	49	44	46	51
CopciAB_1002160.T0	71	62	60	109	83	111
CopciAB_383702.T0	9	0	0	0	2	0
CopciAB_1002164.T0	0	0	0	0	0	1
CopciAB_542482.T0	2183	2218	1910	2253	3362	1088
CopciAB_368563.T0	2845	2357	2964	4373	3115	2405
CopciAB_383576.T0	0	0	0	0	0	0
CopciAB_1002174.T0	0	0	0	0	0	0
CopciAB_383572.T0	0	0	0	0	0	0
CopciAB_1002176.T0	0	0	0	0	0	0
CopciAB_347224.T0	0	0	0	0	0	0
CopciAB_458901.T0	0	0	0	0	0	0
CopciAB_1000699.T0	0	0	0	0	0	0
CopciAB_1001425.T0	0	0	0	0	0	0
CopciAB_1001647.T0	0	0	0	0	0	0
CopciAB_1002183.T0	0	0	0	0	0	0
CopciAB_1000160.T0	0	0	0	0	0	0
CopciAB_1002188.T0	0	0	0	0	0	0
CopciAB_371670.T0	50	59	66	21	13	10
CopciAB_23387.T0	1213	1099	908	1637	1251	546
CopciAB_1002193.T0	0	6	1	0	4	0
CopciAB_1002195.T0	27	26	54	30	8	24
CopciAB_463064.T0	0	0	0	0	0	0
CopciAB_1002200.T0	0	0	0	0	0	0
CopciAB_1002201.T0	0	0	0	0	0	0
CopciAB_1002205.T0	2	1	0	0	0	1
CopciAB_1000076.T0	0	0	0	0	0	0
CopciAB_1002206.T0	0	0	0	0	0	0
CopciAB_1002604.T0	0	0	0	0	0	0
CopciAB_1002208.T0	0	0	0	0	0	0
CopciAB_1002214.T0	0	0	0	0	0	2
CopciAB_1002216.T0	41	35	54	45	33	21
CopciAB_364848.T0	0	0	0	0	0	0
CopciAB_469795.T0	0	0	0	0	0	0
CopciAB_486952.T0	29	47	80	50	16	20
CopciAB_1002218.T0	2	11	1	1	6	9
CopciAB_454562.T0	0	0	0	0	0	0
CopciAB_1002228.T0	13	13	38	9	9	4
CopciAB_441964.T0	72	62	80	99	54	49
CopciAB_376753.T0	379	324	483	421	800	266
CopciAB_441951.T0	0	5	3	4	0	0
CopciAB_1002231.T0	9	15	13	9	8	7
CopciAB_476925.T0	258	337	315	332	233	274
CopciAB_1002236.T0	8	7	9	10	7	6
CopciAB_363166.T0	1962	1302	1161	4188	2163	1772
CopciAB_1002239.T0	31	13	14	17	8	8
CopciAB_1002241.T0	0	2	2	1	0	0
CopciAB_545442.T0	0	0	0	0	0	0
CopciAB_406335.T0	2075	2646	2216	1988	2975	1285
